event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2019-02-28,2019,Huachicoleros,Santa Rosa de Lima,5,Guanajuato,Valle de Santiago,20.3913,-101.1814,"As reported on 28 February 2019, in Valle de Santiago (Guanajuato), members of the Santa Rosa de Lima Cartel and suspected huachicoleros engaged in a shoot-out. According to reports, the armed clash was related to rivalries over hydrocarbon theft in the region. 5 suspects were killed, and no arrests were reported."
2019-03-04,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Apatzingan de la Constitucion,19.0872,-102.3553,"On 4 March 2019, in Apatzingan, an armed clash between two criminals groups took place, one called 'Los Viagras' and another from the CJNG: Jalisco New Generation Cartel. The clash affected 6 neighborhoods: El Duende, Lazaro Cardenas, Palmira, Las Palmas, Priest and Palo Alto. The shooting lasted around two hours, three policemen were injured."
2019-03-09,2019,CJNG,Santa Rosa de Lima,15,Guanajuato,Salamanca,20.5687,-101.1999,"On 9 March 2019, in Salamanca (Guanajuato), a group of 7 armed members of the Santa Rosa de Lima Cartel started shooting indiscriminately against civilians at a club in the San Roque neighbourhood. The massacre took place in the context of on-going Police and Army operations to dismantle the Santa Rosa de Lima Cartel, and it was reported that some of the victims belonged to the Jalisco New Genera…"
2019-03-21,2019,CJNG,Los Zetas,1,Jalisco,Guadalajara,20.6764,-103.3422,"Around 21 March 2019, in Guadalajara, Jalisco, a video of alleged members of CJNG-Cartel Jalisco New Generation surfaced on social media where alleged members kill an alleged member of Los Zetas in an unknown location. Precise date of killing is unclear."
2019-04-09,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Apatzingan de la Constitucion,19.0872,-102.3553,"Around 09 April 2019, an armed clash between members of the CJNG and Los Viagras was reported in the ranch San Jose de Chila, Apatzingan de la Constitucion. No fatalities or casualty reported."
2019-04-18,2019,Los Chulos,Los Pitos,0,Yucatan,Ticul,20.3973,-89.536,"On 18 April 2019, in Ticul, Yucatan, two rivalling criminal groups _os Chulos_and _os Pitos_clashed. Several persons were injured with bladed weapons. Even though security forces were alerted, no one was arrested."
2019-04-19,2019,CJNG,Los Zetas,14,Veracruz de Ignacio de la Llave,Minatitlan,17.991,-94.5484,"On 19 April 2019, in Minatitlan, Veracruz, members of Los Zetas Gang attacked the restaurant La Potra with the intent of killing its owner who was related to the CJNG: Jalisco New Generation Cartel. Preliminary investigations state that a private party held by the labour union of oil workers _eccion 10_was a collateral damage of the attack. 14 persons died, (6 women, 7 men, 1 baby), 5 more person…"
2019-05-13,2019,Fuerza Anti Union,La Union Tepito,3,Ciudad de Mexico,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,"On 13 May 2019, an armed clash between an armed group and the Tepito Union Cartel was registered in Tepito, Cuauhtemoc, Ciudad de Mexico. Three members of the Tepito Union Cartel died in the clash, and one was wounded, which indicates that the other group is most likely la Anti-Union. 3 fatalities, 1 casualty."
2019-05-22,2019,CJNG,Los Viagras,10,Michoacan de Ocampo,Uruapan,19.4209,-102.0628,"On 22 May 2019, an armed clash between members of the CJNG and Los Viagras Gang was registered in colonia Arroyo Colorado in Uruapan. 10 civilians died and 4-5 were wounded. 10 fatalities, 4 casualties."
2019-05-30,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Morelia,19.7034,-101.192,"On 30 May 2019, about 289 kilometers from Morelia, Michoacan, members of the CJNG and Los Viagras Gang clashed. Neither fatality nor injuries reported."
2019-05-30,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Aguililla,18.7342,-102.7884,"On 30 May 2019, in Pena Colorada, Aguililla, Michoacan, members of CJNG and Los Viagras Gang clashed. Neither fatality nor injuries reported."
2019-05-30,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Coalcoman de Vazquez Pallares,18.7771,-103.1596,"On 30 May 2019, in Coalcoman, Michoacan, members of the CJNG and Los Viagras Gang clashed. Neither fatality nor injuries reported."
2019-07-13,2019,La Union Tepito,Sinaloa Cartel,1,Ciudad de Mexico,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,"On 13 July 2019, in Tepito, Cuauhtemoc, Ciudad de Mexico, a member of a group known as 'Los Sinaloas' which is part of the Sinaloa Cartel, was attacked by members of the Tepito Union Cartel. The man died in the attack."
2019-07-28,2019,Fuerza Anti Union,La Union Tepito,2,Ciudad de Mexico,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,"On 28 July 2019, in Cuauhtemoc, Ciudad de Mexico, DF, a shooting was registered in colonia Morelos, Tepito neighbourhood, resulting in the death of two persons and wounding of three persons. The exchange of fire is allegedly connected to rivalry between the Fuerza Anti Union and another criminal group. The victims allegedly were extortioners affiliated with the Union Tepito. 2 fatalities, 4 injur…"
2019-08-10,2019,Gente Nueva,La Linea,3,Chihuahua,Madera,29.19,-108.1414,"On 10 August 2019, in Madera, Chihuahua, an armed clash between members of the Gente Nueva Cartel and Sinaloa Cartel against Juarez and La Linea Gang was registered in Las Varas. The clash continued until 11 August and six people died. Six fatalities were split over two days."
2019-08-11,2019,Gente Nueva,La Linea,3,Chihuahua,Madera,29.19,-108.1414,"On 11 August 2019, in Madera, Chihuahua, an armed clash between members of the Gente Nueva gang and Sinaloa Cartel against Juarez and La Linea Gang was registered in Las Varas. The clash started on 10 August and continued until 11 August. Six people died. Six fatalities were split over two days."
2019-08-13,2019,CJNG,Los Viagras,0,Michoacan de Ocampo,Morelia,19.7034,-101.192,"On 13 August 2019, possibly in Michoacan, a video showing how three alleged members of the CJNG are tortured by members of Los Viagra was released. It is not clear whether the three CJNG members are alive."
2019-09-04,2019,CJNG,Cartel del Noreste,1,San Luis Potosi,San Luis Potosi,22.1517,-100.977,"As reported on 4 September 2019, in a video published by the CJNG, members of this cartel killed a man who they mentioned belonged to the North-East Cartel. The video had a message to the police accusing them of defending the presence of this cartel in San Luis Potosi."
2019-09-12,2019,CJNG,La Familia Michoacana,0,Michoacan de Ocampo,Morelia,19.7034,-101.192,"As reported on 12 September 2019, on a video recorded by members of the Familia Michoacana Cartel tortured a man of the CJNG. There is no information about the location of the event."
2019-10-07,2019,CJNG,Cartel del Noreste,3,Tamaulipas,Ciudad Victoria,23.7311,-99.1513,"As reported on 7 October 2019, members of the North-East Cartel published a video showing the execution of three members of the CJNG and sending a threatening message to this Cartel who is sending men to Tamaulipas state."
